Group,ID,List,Target,RT,RT_log,Critical_Filler,Word_Nonword,Relation_type,Branching,accuracy
L1,L1_03,C,unhappiness,599,6.3953,Critical,Word,NonConstituent,Left,correct
L1,L1_03,C,reattachable,927,6.832,Critical,Word,Unrelated,Left,correct
L1,L1_03,C,recomputable,1407,7.2492,Critical,Word,NonConstituent,Left,correct
L1,L1_03,C,reusable,653,6.4816,Critical,Word,Constituent,Left,correct
L1,L1_03,C,resealable,848,6.7429,Critical,Word,NonConstituent,Left,correct
L1,L1_03,C,unawareness,551,6.3117,Critical,Word,NonConstituent,Left,correct
L1,L1_03,C,rehydratable,642,6.4646,Critical,Word,Unrelated,Left,incorrect
L1,L1_03,C,reclosable,886,6.7867,Critical,Word,Constituent,Left,correct
L1,L1_03,C,unresentful,799,6.6834,Critical,Word,Unrelated,Right,correct
L1,L1_03,C,unripeness,1024,6.9315,Critical,Word,NonConstituent,Left,correct
L1,L1_03,C,unmovable,624,6.4362,Critical,Word,Constituent,Right,correct
L1,L1_03,C,resellable,673,6.5117,Critical,Word,Unrelated,Left,correct
L1,L1_03,C,untruthful,681,6.5236,Critical,Word,Constituent,Right,correct
L1,L1_03,C,unavoidable,672,6.5103,Critical,Word,Unrelated,Right,correct
L1,L1_03,C,uneventful,654,6.4831,Critical,Word,Unrelated,Right,incorrect
L1,L1_03,C,ungraceful,734,6.5985,Critical,Word,Constituent,Right,correct
L1,L1_03,C,unclearness,744,6.612,Critical,Word,Unrelated,Left,correct
L1,L1_03,C,readjustable,680,6.5221,Critical,Word,NonConstituent,Left,correct
L1,L1_03,C,uncleverness,974,6.8814,Critical,Word,Constituent,Left,correct
L1,L1_03,C,undeniable,849,6.7441,Critical,Word,Unrelated,Right,correct
L1,L1_03,C,reobtainable,818,6.7069,Critical,Word,Constituent,Left,correct
L1,L1_03,C,unreadable,653,6.4816,Critical,Word,Unrelated,Right,correct
L1,L1_03,C,unthankful,610,6.4135,Critical,Word,Unrelated,Right,correct
L1,L1_03,C,unskillful,662,6.4953,Critical,Word,Constituent,Right,correct
L1,L1_05,E,unthankful,679,6.5206,Critical,Word,Constituent,Right,correct
L1,L1_05,E,resealable,754,6.6254,Critical,Word,Constituent,Left,correct
L1,L1_05,E,reclosable,924,6.8287,Critical,Word,Unrelated,Left,incorrect
L1,L1_05,E,unkindness,1029,6.9363,Critical,Word,Unrelated,Left,incorrect
L1,L1_05,E,unavoidable,597,6.3919,Critical,Word,Constituent,Right,correct
L1,L1_05,E,resellable,1133,7.0326,Critical,Word,NonConstituent,Left,correct
L1,L1_05,E,unripeness,1291,7.1632,Critical,Word,Constituent,Left,correct
L1,L1_05,E,reobtainable,1315,7.1816,Critical,Word,Unrelated,Left,correct
L1,L1_05,E,recomputable,1288,7.1608,Critical,Word,Constituent,Left,correct
L1,L1_05,E,unsharpness,839,6.7322,Critical,Word,NonConstituent,Left,incorrect
L1,L1_05,E,unholiness,1002,6.9098,Critical,Word,NonConstituent,Left,correct
L1,L1_05,E,ungraceful,1060,6.966,Critical,Word,Unrelated,Right,correct
L1,L1_05,E,readjustable,924,6.8287,Critical,Word,Constituent,Left,incorrect
L1,L1_05,E,unskillful,890,6.7912,Critical,Word,Unrelated,Right,correct
L1,L1_05,E,unresentful,914,6.8178,Critical,Word,Constituent,Right,incorrect
L1,L1_05,E,untruthful,687,6.5323,Critical,Word,Unrelated,Right,correct
L1,L1_05,E,unmovable,1010,6.9177,Critical,Word,Unrelated,Right,correct
L1,L1_05,E,unwariness,1002,6.9098,Critical,Word,Unrelated,Left,incorrect
L1,L1_05,E,unawareness,1133,7.0326,Critical,Word,Constituent,Left,correct
L1,L1_05,E,uneventful,546,6.3026,Critical,Word,Constituent,Right,correct
L1,L1_05,E,unclearness,991,6.8987,Critical,Word,NonConstituent,Left,incorrect
L1,L1_05,E,reusable,838,6.731,Critical,Word,Unrelated,Left,correct
L1,L1_05,E,untouchable,761,6.6346,Critical,Word,Unrelated,Right,correct
L1,L1_05,E,uncleverness,1246,7.1277,Critical,Word,Unrelated,Left,incorrect
L1,L1_05,E,unreadable,1174,7.0682,Critical,Word,Constituent,Right,correct
L1,L1_05,E,rehydratable,943,6.8491,Critical,Word,NonConstituent,Left,incorrect
L1,L1_05,E,unhappiness,973,6.8804,Critical,Word,Constituent,Left,correct
L1,L1_05,E,unbreakable,763,6.6373,Critical,Word,Unrelated,Right,correct
L1,L1_05,E,undeniable,629,6.4441,Critical,Word,Constituent,Right,correct
L1,L1_05,E,reattachable,1462,7.2876,Critical,Word,NonConstituent,Left,correct
L1,L1_06,F,unbreakable,638,6.4583,Critical,Word,Unrelated,Right,correct
L1,L1_06,F,unreadable,592,6.3835,Critical,Word,Constituent,Right,correct
L1,L1_06,F,unhappiness,600,6.3969,Critical,Word,NonConstituent,Left,correct
L1,L1_06,F,readjustable,656,6.4862,Critical,Word,NonConstituent,Left,correct
L1,L1_06,F,unripeness,972,6.8794,Critical,Word,NonConstituent,Left,incorrect
L1,L1_06,F,recomputable,949,6.8554,Critical,Word,NonConstituent,Left,correct
L1,L1_06,F,ungraceful,708,6.5624,Critical,Word,Unrelated,Right,correct
L1,L1_06,F,unmovable,912,6.8156,Critical,Word,Unrelated,Right,correct
L1,L1_06,F,uneventful,627,6.4409,Critical,Word,Constituent,Right,correct
L1,L1_06,F,unclearness,518,6.25,Critical,Word,Unrelated,Left,correct
L1,L1_06,F,resellable,620,6.4297,Critical,Word,Unrelated,Left,incorrect
L1,L1_06,F,undeniable,766,6.6412,Critical,Word,Constituent,Right,correct
L1,L1_06,F,reclosable,792,6.6746,Critical,Word,Constituent,Left,incorrect
L1,L1_06,F,unskillful,689,6.5352,Critical,Word,Unrelated,Right,correct
L1,L1_06,F,unkindness,1146,7.044,Critical,Word,Constituent,Left,incorrect
L1,L1_06,F,reusable,528,6.2691,Critical,Word,Constituent,Left,correct
L1,L1_06,F,unholiness,879,6.7788,Critical,Word,Unrelated,Left,correct
L1,L1_06,F,unawareness,508,6.2305,Critical,Word,NonConstituent,Left,correct
L1,L1_06,F,unwariness,708,6.5624,Critical,Word,Constituent,Left,correct
L1,L1_06,F,rehydratable,872,6.7708,Critical,Word,Unrelated,Left,correct
L1,L1_06,F,unresentful,581,6.3648,Critical,Word,Constituent,Right,correct
